"Keyword"	"Biological Evidence-DNA"
"(ESI-MS)"	1
"(GC-MS)"	2
"(REAL-TIME PCR)"	15
"(RFLP)"	1
"_-AMYLASE ACTIVITY"	1
"“TOUCH” DNA SAMPLES"	1
"12S"	1
"16S"	1
"16S RDNA"	1
"454 SEQUENCING"	2
"55 AISNP SET"	1
"ACCURACY"	1
"ACTB"	1
"ACTIVITY"	1
"ACTIVITY LEVEL"	1
"ACTIVITY LEVEL INFERENCE"	1
"ACTIVITY LEVEL PROPOSITIONS"	3
"ADHESIVE TAPE SAMPLING"	1
"ADMISSIBILITY"	1
"ADMIXED SAMPLES"	1
"ADMIXTURE"	3
"AFRICAN AMERICAN"	2
"AG NANOROD"	1
"AGE"	1
"AGE ESTIMATION"	1
"AGE PREDICTION"	1
"AGEING"	1
"AGENA BIOSCIENCE EPITYPER"	1
"AHR"	1
"AIM"	3
"AIM1"	1
"AIMS"	4
"AISNP"	1
"AISNPS"	1
"ALIGNMENT"	1
"ALKALINE DIGESTION"	1
"ALLELE"	2
"ALLELE-SPECIFIC HYBRIDIZATION"	1
"ALLELE-SPECIFIC PRIMER EXTENSION"	2
"ALLELE DROP-OUT"	1
"ALLELE DROPOUT"	1
"ALLELE FREQUENCIES"	1
"ALLELE FREQUENCY"	1
"ALLELE SHARING"	1
"ALLELIC DISCRIMINATION"	1
"ALLELIC DROP-IN"	1
"ALLELIC DROP-OUT"	1
"ALLELIC DROPOUT"	4
"ALLELIC LADDERS"	1
"ALTERANTIVE SPECIMEN"	1
"ALTERNATE LIGHT SOURCE"	1
"ALTERNATIVE METHODS"	1
"ALU REPEATS"	1
"ALU SEQUENCES"	2
"ALUYB8"	1
"AMANDA KNOX"	1
"AMELOGENIN GENE"	6
"AMERINDIAN"	1
"AMPF_STR"	1
"AMPF_STR®"	1
"AMPF‘STRÒ YFILERTM"	1
"AMPFLSTR SGM PLUS"	1
"AMPFLSTR® IDENTIFILER KIT"	1
"AMPFlSTR® IDENTIFILER®"	1
"AMPFLSTR® IDENTIFILER® ASSAY"	1
"AMPFLSTR® NGM SELECT™ EXPRESS"	1
"AMPFlSTR® NGM SELECT™ KIT"	1
"AMPFlSTR® NGM™ KIT"	1
"AMPLIFICATION"	1
"AMPLIFICATION SUCCESS RATE"	1
"ANABOLIC STEROID"	1
"ANALYTICAL THRESHOLD"	1
"ANCESTRY"	6
"ANCESTRY-INFORMATIVE MARKER"	1
"ANCESTRY-INFORMATIVE SNP"	1
"ANCESTRY-INFORMATIVE SNPS"	1
"ANCESTRY INFERENCE"	3
"ANCESTRY INFORMATIVE MARKER"	1
"ANCESTRY INFORMATIVE MARKER (AIM)"	1
"ANCESTRY INFORMATIVE MARKERS"	5
"ANCESTRY INFORMATIVE MARKERS (AIMS)"	1
"ANCESTRY INFORMATIVE SNP"	1
"ANCESTRY TEST"	1
"ANCESTRY TESTING"	1
"ANCIENT DNA"	5
"AND D2S1338"	1
"ANIMAL IDENTIFICATION"	1
"ANTIBODIES"	1
"ANTICIPATORY PRACTICE"	1
"ANTIDEPRESSANT"	1
"AP3B1"	1
"APOPTOSIS"	1
"APPEARANCE"	1
"ARGENTINA"	1
"ARRAYS"	1
"ARRESTEE DNA COLLECTION"	1
"ARTIFICIALLY DEGRADED DNA"	1
"ASIAN"	1
"ASM"	1
"ASSOCIATION"	1
"ASSOCIATION STUDIES"	1
"AUREKA CELL ISOLATION"	1
"AUSTRALIA/NEW ZEALAND BIOLOGY SPECIALIST ADVISORY GROUP (BSAG)"	1
"AUTHENTICATION CRITERIA"	1
"AUTOMATED ALLELE CONCORDANCE ANALYSIS SYSTEM"	1
"AUTOMATED DATA REVIEW"	1
"AUTOMATED DNA EXTRACTION"	1
"AUTOMATED DNA PURIFICATION"	1
"AUTOMATED EXTRACTION"	1
"AUTOMATED STR TYPING"	1
"AUTOMATIC CELL RECOGNITION"	1
"AUTOMATION"	9
"AUTOPSY"	2
"AUTOSOMAL GENETIC MARKERS"	1
"AUTOSOMAL MARKERS"	1
"AUTOSOMAL SNPS"	3
"AUTOSOMAL STR"	1
"AUTOSOMAL STRS"	3
"AUTOSOMES"	1
"BACKGROUND"	1
"BACKGROUND DNA"	3
"BACKLOG"	1
"BACTERIA"	3
"BAN EFFICIENCY"	1
"BATTERY"	1
"BAYES"	1
"BAYES ANALYSIS"	1
"BAYES NET"	1
"BAYES THEOREM"	2
"BAYESIAN"	1
"BAYESIAN APPROACH"	1
"BAYESIAN FRAMEWORK"	1
"BAYESIAN METHODS"	1
"BAYESIAN MODEL"	1
"BAYESIAN NETWORK"	5
"BAYESIAN PRIORS"	1
"BINARY MODEL"	1
"BIOCHIPS"	1
"BIOCRIME"	1
"BIOETHICS"	1
"BIOFLUIDS"	1
"BIOGEOGRAPHIC ANCESTRY"	1
"BIOGEOGRAPHIC ANCESTRY INFERENCE"	1
"BIOGEOGRAPHICAL ANCESTRY"	4
"BIOINFORMATICS"	4
"BIOLOGICAL MODEL"	1
"BIOLOGICAL TRACES"	1
"BIOMARKERS"	2
"BIOMEK® 2000"	2
"BIOROBOT EZ1"	1
"BIOROBOT® EZ1"	1
"BIOROBOT® M48"	1
"BIOSPECTROSCOPY"	1
"BIOSTATISTICAL ANALYSIS"	1
"BIOSTATISTICAL SOFTWARE"	1
"BIOTECHNOLOGY"	1
"BIOTERRORISM"	1
"BISULPHITE PYROSEQUENCING"	1
"BITEMARKS"	1
"BLAST"	1
"BLAT SEARCH, MULTIPLEX PCR"	1
"BLEACH"	1
"BLOOD"	6
"BLOOD BIOMARKERS"	1
"BLOOD GROUP LOCI"	1
"BLOOD IDENTIFICATION"	1
"BLOOD STAIN"	2
"BLOW FLY"	1
"BLUESTAR©"	1
"BODY FLUID"	6
"BODY FLUID FORUM"	1
"BODY FLUID IDENTIFICATION"	35
"BODY HEIGHT"	1
"BODY TISSUES"	1
"BONE"	2
"BOOKING STATION"	1
"BRAZIL"	1
"BROAD-RANGE PCR"	1
"BUCCAL"	1
"BUCCAL CELLS"	1
"BUCCAL SWABS"	5
"BURGLARY"	1
"BURNED BONE"	1
"CALIBRATION"	1
"CANINE"	1
"CANIS FAMILIARIS"	2
"CAPILLARY ARRAY ELECTROPHORESIS"	3
"CAPILLARY ELECTROPHORESIS"	12
"CAPILLARY ZONE ELECTROPHORESIS"	1
"CARRIER"	1
"CASEWORK"	5
"CATALYTIC TEST"	1
"CATIONS"	1
"CAUCASIAN"	1
"CDSN"	1
"CEC"	1
"CELL-FREE DNA"	1
"CELL LINE AUTHENTICATION"	1
"CELL SEPARATION"	1
"CELL TYPING"	1
"CELLULAR ORIGIN"	1
"CENTRAL-SOUTH ASIA"	1
"CEPH DIVERSITY PANEL"	1
"CEPH HUMAN GENOME DIVERSITY PANEL"	2
"CHEMICAL TEST"	1
"CHEMICAL WEAPONS"	1
"CHEMILUMINESCENCE"	1
"CHILD SEXUAL ABUSE"	1
"CHINESE NORTHERN HAN"	1
"CHIPS"	1
"CHROMOSOMAL POSITIONING"	1
"CHROMOSOME MARKERS"	1
"CHRONOLOGICAL AGE"	1
"CIGARETTE BUTTS"	1
"CLASSIFICATION"	1
"CLC GENOMICS WORKBENCH"	1
"CLEANING"	2
"CLEANING AGENTS"	1
"CLINICAL APPLICATION"	1
"CLINICAL APPLICATIONS"	1
"CLINICAL LABORATORY"	1
"CLOTHING"	3
"CLUSTER ANALYSIS"	1
"CO-EXTRACTION"	1
"COANCESTRY"	2
"CODIS"	8
"CODIS 20"	1
"CODIS STRS"	1
"COLD CASES"	3
"COLLABORATIVE EXERCISE"	9
"COLONIZATION"	1
"COMBINED DNA INDEX SYSTEM"	1
"COMBINED PROBABILITY OF INCLUSION"	1
"COMPARISON"	1
"COMPETITIVE PCR"	1
"COMPLEX DISEASE"	1
"COMPLEX DNA MIXTURES"	1
"COMPLEX KINSHIP ANALYSIS"	1
"COMPLEX MIXTURES"	1
"COMPLEX PARENTAGE TESTING"	1
"COMPLEX STR LOCI"	1
"COMPUTER PROGRAM"	1
"CONCORDANCE"	4
"CONTACT DNA"	1
"CONTACTLESS CONDUCTIVITY DETECTION"	1
"CONTAMINATION"	13
"CONTINUOUS METHOD"	1
"CONTINUOUS MODELS"	3
"CONTROL REGION"	7
"CORE LOCI"	1
"CORNEOCYTES"	1
"COST-BENEFITS"	1
"CPG ISLANDS"	1
"CPG MARKERS"	1
"CPG METHYLATION"	1
"CPG SITES"	2
"CPI"	1
"CRIME CASE WORK"	1
"CRIME SCENE INVESTIGATION"	1
"CRIME SCENE SAMPLES"	1
"CRIMINAL CASEWORK"	1
"CRIMINAL INVESTIGATIVE PRACTICE"	1
"CRIMINALISTICS"	3
"CSF"	1
"CSF1PO"	7
"CSFIPO"	1
"CYP1A1"	1
"CYP2C8"	1
"CYP2C9"	1
"CYP2D6"	1
"CYP3A4"	1
"CYTOCHROME B"	2
"CYTOCHROME B GENE"	2
"CYTOKERATINS"	1
"CYTOLOGY"	1
"D-DIMER"	1
"D-LOOP"	3
"D10S1248"	1
"D12S391"	2
"D13S317"	8
"D14S1434"	1
"D16S539"	9
"D18S51"	9
"D19S433"	2
"D1S1677"	1
"D21S11"	8
"D22S1045"	1
"D2S1338"	6
"D2S1388"	1
"D2S441"	1
"D3S 1358"	1
"D3S1358"	4
"D4S2364"	1
"D5S818"	6
"D758"	1
"D7S820"	8
"D8S 1179"	1
"D8S1179"	5
"DATA BANK"	1
"DATA EXCHANGE"	1
"DATA MINING"	1
"DATA NORMALISATION"	1
"DATABASE"	9
"DAUBERT"	1
"DBSNP"	1
"DCT"	1
"DEATH IN WATER"	1
"DECISION SUPPORT SYSTEM (DSS)"	1
"DECOMPOSITION"	1
"DECONTAMINATION"	1
"DECONVOLUTION"	1
"DEEP-ROOTED PEDIGREE"	1
"DEFICIENCY CASES"	2
"DEGRADATION"	4
"DEGRADED"	3
"DETECTION"	2
"DEVELOPMENT"	1
"DEVELOPMENTAL VALIDATION"	5
"DEVICE BEHAVIOR"	1
"DHPLC"	1
"DIAMONDTM NUCLEIC ACID DYE"	1
"DIFFERENTIAL METHYLATION"	1
"DIGITAL AGE DETERMINATION"	1
"DIGNITY"	1
"DINUCLEOTIDE REPEAT"	1
"DIP"	1
"DIRECT AMPLIFICATION"	3
"DIRECT ANALYSIS IN REAL-TIME (DART)"	1
"DIRECT PCR"	4
"DISASTER VICTIM IDENTIFICATION"	1
"DISCORDANCE"	1
"DISCRIMINATION ANALYSIS"	1
"DISCRIMINATION POWER"	1
"DISPENSING PERFORMANCE"	1
"DISTANCE"	1
"DISTANT RELATIONSHIPS"	1
"DNA"	39
"DNA AMPLIWCATION"	1
"DNA ANALYSIS"	5
"DNA ARRAYS"	1
"DNA BINDING DYES"	1
"DNA CHIPS"	1
"DNA COMMISSION"	2
"DNA CONTAMINATION"	3
"DNA DATABANK"	1
"DNA DATABASE"	1
"DNA DATABASES"	2
"DNA DATABASING"	2
"DNA DEGRADATION"	26
"DNA DETECTION"	1
"DNA DEVICES"	1
"DNA DIAGNOSIS"	1
"DNA DRAGNET"	1
"DNA EXTRACTION"	5
"DNA FINGERPRINTING"	1
"DNA FORENSICS"	1
"DNA FRAGMENT ANALYSIS"	1
"DNA GENOTYPING"	1
"DNA HYBRIDIZATION"	1
"DNA INHIBITORS"	1
"DNA INTELLIGENCE"	4
"DNA INTERPRETATION"	3
"DNA IQ™"	1
"DNA ISOLATION"	1
"DNA METHYLATION"	17
"DNA METHYLATION PROFILE"	1
"DNA MICROCHIPS"	1
"DNA MIXTURE"	6
"DNA MIXTURE ANALYSIS"	1
"DNA MIXTURE INTERPRETATION"	2
"DNA MIXTURES"	7
"DNA PERSISTENCE"	1
"DNA PHENOTYPING"	2
"DNA POLYMERASE"	1
"DNA PREDICTION"	2
"DNA PREVALENCE"	1
"DNA PROFILE"	1
"DNA PROFILES"	5
"DNA PROFILING"	10
"DNA PURIFICATION"	1
"DNA QUANTIFICATION"	2
"DNA QUANTITATION"	6
"DNA RECOVERY"	2
"DNA SEQUENCING"	3
"DNA STR TYPING"	1
"DNA SUCCESS RATES"	1
"DNA TESTING"	2
"DNA TESTING BONE"	1
"DNA TRANSFER"	12
"DNA TYPING"	53
"DNA/RNA CO-EXTRACTION"	2
"DNASCAN/ANDE™ RAPID DNA ANALYSIS™ SYSTEM"	1
"DOGS"	1
"DOMESTIC DOG"	1
"DOPAMINE D2 RECEPTOR"	1
"DOPING"	1
"DORENSIC SCIENCE"	1
"DROP-IN"	2
"DROP-IN CONTAMINATION"	1
"DROP-IN/DROP-OUT"	1
"DROP-OUT"	3
"DROPIN"	1
"DROPOUT"	1
"DRUG"	1
"DRUG OF ABUSE"	1
"DTC GENETIC TESTING"	2
"DUST"	1
"DYE ARTIFACTS"	1
"DYS 389"	1
"DYS 393"	1
"DYS 443"	1
"DYS 444"	1
"DYS 445"	1
"DYS 447"	1
"DYS 448"	1
"DYS 449"	1
"DYS 452"	1
