"Keyword"	"Toxicology"
"'SPICE'"	1
"\"\"\"\"DATE-RAPE\"\"\"\" DRUGS"	1
"\"\"\"\"LIQUID ECSTASY\"\"\"\""	1
"\"\"\"\"SHEN-FU\"\"\"\" INJECTABLE POWDER"	1
"(1RS,3SR)-3-[4-(1,1- DIMETHYLOCTYL)-2-HYDROXYPHENYL]CYCLOHEXAN-1-OL"	1
"(ñ)-11-NOR-?9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID"	1
"(ESI-MS)"	1
"(FTIR)"	3
"(GC-MS)"	123
"(HPLC)"	25
"(ICP-MS)"	3
"(LC-MS)"	35
"(LC-MS/MS)"	171
"(UHPLC)"	9
"?- HYDROXYBUTYRIC ACID"	1
"?-BLOCKER"	1
"?-BUTYROLACTONE (GBL)"	1
"?-CARBOLINONE"	2
"?-CYCLODEXTRIN"	1
"?-GLUCURONIDASE"	1
"?-HYDROXYBUTYRATE (GHB)"	1
"?-HYDROXYBUTYRIC ACID"	2
"?-HYDROXYBUTYRIC ACID (GHB)"	1
"?-LYASE METABOLITES"	1
"?-OPIOID RECEPTOR AGONIST"	1
"?-PBP"	1
"?-PHP AND ?-PHPP"	1
"?-PROPYLAMINOPENTIOPHENONE"	1
"?-PVP"	4
"?-PYRROLIDINOOCTANOPHENONE"	1
"?-PYRROLIDINOPHENONE IN VIVO METABOLISM"	1
"?-PYRROLIDINOPHENONES"	1
"?2-AGONISTS"	1
"?2 AGONISTS"	1
"?8-TETRAHYDROCANNABINOL"	1
"?9-TETRAHYDROCANNABINOL"	2
"[S-HETE]-CPF TRIPEPTIDE ADDUCT"	1
"�BATH SALTS�"	1
"�LEGAL HIGHS�"	1
"<U+0394>9-TETRAHYDROCANNABINOL"	3
"<U+0394>9-THC-COOH"	1
"<U+03B3>-BUTYROLACTONE (GBL)"	1
"<U+03B3>-HYDROXYBUTYRATE"	1
"<U+03B3>-HYDROXYBUTYRIC ACID"	2
"<U+03B3>-HYDROXYBUTYRIC ACID (GHB)"	2
"<U+03B3>-HYDROXYBUTYROLACTONE"	1
"0.05�G/DL"	1
"1-(3- TRIFLUOROMETHYLPHENYL)PIPERAZINE"	1
"1-(3-TRIFLUOROMETHYLPHENYL)PIPERAZINE"	2
"1-[3-TRIFLUOROMETHYLPHENYL]-PIPERAZINE"	1
"1-[4-METHOXYPHENYL]-PIPERAZINE"	1
"1-BENZYL-PIPERAZINE"	1
"1-BENZYLPIPERAZINE"	2
"1-METHY-2-[(6Z,9Z)]-6,9-PENTADECADIENYL-4-(1H)-QUINOLONE"	1
"1-METHYL-2-DODECYL-4- (1H)-QUINOLONE"	1
"1-PHENYL-2-(PYRROLIDIN-1-YL) PENTAN-1-OL (OH-A-PVP)"	1
"1-PHENYL-2-(PYRROLIDIN-1-YL)OCTAN-1-ONE"	1
"1,4-BUTANEDIOL"	1
"10-HYDROXYCARBAZEPINE"	1
"11-CARBOXY-DELTA-9-TETRAHYDROCANNABINOL"	1
"11-COOH-THC"	1
"11-HYDROXYTETRAHYDROCANNABINOL"	2
"11-NOR-?9-TETRAHYDROCANNABINOL-9- CARBOXYLIC ACID"	1
"11-NOR-?9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID GLUCURONIDE"	1
"11-NOR-<U+0394>9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID (THCA)"	1
"11-NOR-9-CARBOXY-<U+0394>9-TETRAHYDROCANNABINOL"	1
"11-NOR-DELTA-9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID"	1
"11-OH-THC"	2
"13C-LABELLED INTERNAL STANDARDS"	2
"13C/12C"	1
"16-O-DEMETHYLACONITINE"	1
"16-O-DEMETHYLHYPACONITINE"	1
"17?-TRENBOLONE"	1
"19-NORANDROSTENEDIONE"	1
"19-NORANDROSTERONE"	1
"19F NMR"	1
"1H-MAGNETIC RESONANCE SPECTROSCOPY"	1
"1H NMR SPECTROSCOPY"	1
"2-(4-BROMO-25-DIMETHOXYPHENYL)-N-(2-METHOXYBENZYL)ETHANAMINE"	1
"2-BUTANOL"	1
"2-BUTANONE"	1
"2-D PAGE"	1
"2-ETHYL-5-METHYL-3,3-DIPHENYL-1-PYRROLINE"	1
"2-ETHYLIDENE-1,5-DIMETHYL-3, 3-DIPHENYLPYRROLIDINE"	1
"2-ETHYLIDENE-1,5-DIMETHYL-3,3-DIPHENYL-PYRROLIDINE"	1
"2-MAPB"	1
"2-NITRO-MORPHINE"	1
"2-NITRO-MORPHINE-6-GLUCURONIDE"	1
"2-OXO-PCE"	1
"2,2?-DICHLORODIETHYL SULFIDE"	1
"2,5-DIMETHOXY-4-BROMAMPHETAMINE (DOB)"	1
"2,5-DIMETHOXY-4-ETHYLTHIO-ß-PHENETHYLAMINE"	1
"2,5-DIMETHOXY-4-ETHYLTHIO-�-PHENETHYLAMINE"	1
"2,5-DIMETHOXY-4-METHYL-ß-PHENETHYLAMINE"	1
"2,5-DIMETHOXY-4-METHYL-�-PHENETHYLAMINE"	1
