"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Zambrano-Mila M.S., Agathos S.N., Reichardt J.K.V.","57209268770;35578578300;7006082191;","Human genetics and genomics research in Ecuador: Historical survey, current state, and future directions",2019,"Human Genomics","13","1","64","","",NA,NA,"10.1186/s40246-019-0249-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076359634&doi=10.1186%2fs40246-019-0249-8&partnerID=40&md5=a55bcaf9ed95fcbffe0ef17650ea2b80","School of Biological Sciences and Engineering, Yachay Tech University, San Miguel de Urcuquí, Ecuador; Bioengineering Lab, Earth and Life Institute, Université Catholique de Louvain, Louvain-la-Neuve, Belgium; Australian Institute of Tropical Health and Medicine (AITHM), James Cook University, Smithfield, QLD, Australia","Zambrano-Mila, M.S., School of Biological Sciences and Engineering, Yachay Tech University, San Miguel de Urcuquí, Ecuador; Agathos, S.N., School of Biological Sciences and Engineering, Yachay Tech University, San Miguel de Urcuquí, Ecuador, Bioengineering Lab, Earth and Life Institute, Université Catholique de Louvain, Louvain-la-Neuve, Belgium; Reichardt, J.K.V., Australian Institute of Tropical Health and Medicine (AITHM), James Cook University, Smithfield, QLD, Australia","Database search; Ecuador; Google Scholar; Human genetics; Human genomics; PubMed; Scopus; South America; Web of Science","Article; congenital disorder; Ecuador; forensic science; genetic disorder; genomics; human; human genetics; malignant neoplasm; pharmacogenetics; pharmacogenomics; phylogeography; population genetics; solid malignant neoplasm; transcriptomics; whole exome sequencing; whole genome sequencing; genomics; history; human genetics; publication; questionnaire; research; Ecuador; Genomics; History, 20th Century; History, 21st Century; Human Genetics; Humans; Publications; Research; Surveys and Questionnaires","Zambrano-Mila, M.S.; School of Biological Sciences and Engineering, Yachay Tech UniversityEcuador; email: marlonz1996@hotmail.com","Article","Final","Open Access","Scopus","2-s2.0-85076359634","Paint-Glass","Paint-Glass"
"Park S., Tyner S.","57209773259;57211582823;","Evaluation and comparison of methods for forensic glass source conclusions",2019,"Forensic Science International","305","","110003","","",NA,1,"10.1016/j.forsciint.2019.110003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074473768&doi=10.1016%2fj.forsciint.2019.110003&partnerID=40&md5=584174fd7ea5d530f1a1d7fcdc4f1d36","Center for Statistics and Applications in Forensic Evidence, 195 Durham Center, Ames, IA  50011, United States","Park, S., Center for Statistics and Applications in Forensic Evidence, 195 Durham Center, Ames, IA  50011, United States; Tyner, S., Center for Statistics and Applications in Forensic Evidence, 195 Durham Center, Ames, IA  50011, United States","Elemental analysis; Glass; LA-ICP-MS; Machine learning","glass; Article; chemical composition; classification; classifier; crime; data base; experimental study; forensic identification; inductively coupled plasma mass spectrometry; intermethod comparison; learning algorithm; machine learning; measurement; priority journal; probability; simulation","Park, S.; Center for Statistics and Applications in Forensic Evidence, 195 Durham Center, United States; email: sypark@iastate.edu","Article","Final","","Scopus","2-s2.0-85074473768","Paint-Glass","Paint-Glass"
"Tiwari N., Harshey A., Das T., Abhyankar S., Yadav V.K., Nigam K., Anand V.R., Srivastava A.","57208795007;57199171419;57199178162;57208801402;57206434893;57199176192;57208799347;55214920200;","Evidential significance of multiple fracture patterns on the glass in forensic ballistics",2019,"Egyptian Journal of Forensic Sciences","9","1","22","","",NA,4,"10.1186/s41935-019-0128-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065839707&doi=10.1186%2fs41935-019-0128-4&partnerID=40&md5=8a7edadb3958d21f144976f81e458789","Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; State Forensic Science Laboratory, Government of NCT, New Delhi, India","Tiwari, N., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; Harshey, A., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; Das, T., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; Abhyankar, S., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; Yadav, V.K., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; Nigam, K., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India; Anand, V.R., State Forensic Science Laboratory, Government of NCT, New Delhi, India; Srivastava, A., Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand University, Jhansi, Uttar Pradesh  284128, India","Air rifle; Forensics; Fractography; Fracture pattern; Glass fracture; Multiple fractures; Trace evidence","","Srivastava, A.; Dr. A.P.J. Abdul Kalam Institute of Forensic Science and Criminology, Bundelkhand UniversityIndia; email: ankit_forensic81@rediffmail.com","Article","Final","Open Access","Scopus","2-s2.0-85065839707","Paint-Glass","Paint-Glass"
"Hartless S., Walton-Williams L., Williams G.","57211550001;57120197100;55469255000;","Critical evaluation of touch DNA recovery methods for forensic purposes",2019,"Forensic Science International: Genetics Supplement Series","7","1","","379","380",NA,NA,"10.1016/j.fsigss.2019.10.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074416690&doi=10.1016%2fj.fsigss.2019.10.020&partnerID=40&md5=0d9b7ef238e5d73460b0b540af709c03","Staffordshire University, Leek Road, Stoke-On-Trent, ST4 2DE, United Kingdom","Hartless, S., Staffordshire University, Leek Road, Stoke-On-Trent, ST4 2DE, United Kingdom; Walton-Williams, L., Staffordshire University, Leek Road, Stoke-On-Trent, ST4 2DE, United Kingdom; Williams, G., Staffordshire University, Leek Road, Stoke-On-Trent, ST4 2DE, United Kingdom","Surface type; Swab material; Touch DNA","aluminum; DNA; glass; polyester; allele; Article; foam; forensic identification; priority journal; real time polymerase chain reaction","Hartless, S.; Staffordshire University, Leek Road, United Kingdom; email: Sophie.hartless@research.staffs.ac.uk","Article","Final","","Scopus","2-s2.0-85074416690","Paint-Glass","Paint-Glass"
"Young J.M., Martin B., Kanokwongnuwut P., Linacre A.","56058908800;57202382037;57202421418;6701572366;","Detection of forensic identification and intelligence SNP data from latent DNA using three commercial MPS panels",2019,"Forensic Science International: Genetics Supplement Series","7","1","","864","865",NA,1,"10.1016/j.fsigss.2019.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076911788&doi=10.1016%2fj.fsigss.2019.11.003&partnerID=40&md5=a1a482d0e39b123cc1bb3a264c83ae7b","College of Science and Engineering, Flinders University, Adelaide, SA, Australia","Young, J.M., College of Science and Engineering, Flinders University, Adelaide, SA, Australia; Martin, B., College of Science and Engineering, Flinders University, Adelaide, SA, Australia; Kanokwongnuwut, P., College of Science and Engineering, Flinders University, Adelaide, SA, Australia; Linacre, A., College of Science and Engineering, Flinders University, Adelaide, SA, Australia","Ancestry; Forensic; Identity; MPS; Phenotype; Touch DNA","Article; comparative study; controlled study; DNA library; DNA sequence; forensic identification; human; oral biopsy; phenotype; priority journal; single nucleotide polymorphism","Young, J.M.; College of Science and Engineering, Flinders UniversityAustralia; email: Jennifer.young@flinders.edu.au","Article","Final","","Scopus","2-s2.0-85076911788","Paint-Glass","Paint-Glass"
"Kikkawa H.S., Naganuma K., Kumisaka K., Sugita R.","24587369600;57211333456;57197786953;7007155469;","Semi-automated scanning electron microscopy energy dispersive X-ray spectrometry forensic analysis of soil samples",2019,"Forensic Science International","305","","109947","","",NA,1,"10.1016/j.forsciint.2019.109947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073567927&doi=10.1016%2fj.forsciint.2019.109947&partnerID=40&md5=4afa60292be36899601a9671c10e543e","National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Forensic Science Laboratory, Miyazaki Prefectural Police H.Q., 1-8-28 AsahiMiyazaki  880-8509, Japan","Kikkawa, H.S., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Naganuma, K., Forensic Science Laboratory, Miyazaki Prefectural Police H.Q., 1-8-28 AsahiMiyazaki  880-8509, Japan; Kumisaka, K., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Sugita, R., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan","Automated mineral analysis; Chi-squared tests; Elemental analysis; Trace evidence","albite; andesine; anorthite; bytownite; glass; labradorite; mineral; organic matter; orthoclase; silicon dioxide; unclassified drug; volcanic glass; Article; chi square test; controlled study; energy dispersive X ray spectroscopy; forensic science; granite; granodiorite; human; particle size; phenotype; population research; priority journal; rock; room temperature; scanning electron microscopy; simulation; soil analysis","Kikkawa, H.S.; National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Japan; email: kikkawa@nrips.go.jp","Article","Final","","Scopus","2-s2.0-85073567927","Paint-Glass","Paint-Glass"
"Alenezi A., Atlam H.F., Wills G.B.","55786432500;57194943646;35609513100;","Experts reviews of a cloud forensic readiness framework for organizations",2019,"Journal of Cloud Computing","8","1","11","","",NA,5,"10.1186/s13677-019-0133-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070698533&doi=10.1186%2fs13677-019-0133-z&partnerID=40&md5=c8fd05bde50d4f209cc2e240af63ee56","Faculty of Computing and Information Technology, Northern Border University, Rafha, Saudi Arabia; School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom","Alenezi, A., Faculty of Computing and Information Technology, Northern Border University, Rafha, Saudi Arabia, School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom; Atlam, H.F., School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom; Wills, G.B., School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom","Cloud computing; Cloud forensic readiness; Cloud forensics; Digital forensics","Cloud computing; Computer crime; Data handling; Digital forensics; Infrastructure as a service (IaaS); Cloud environments; Cloud forensics; Digital investigation; Forensic readiness; Industrial standards; Literature reviews; Organizational factors; research methods; Computer forensics","Alenezi, A.; School of Electronics and Computer Science, University of SouthamptonUnited Kingdom; email: aa4e15@soton.ac.uk","Article","Final","Open Access","Scopus","2-s2.0-85070698533","Paint-Glass","Paint-Glass"
"Gitto L., Bonaccorso L., Serinelli S.","55765690600;7801511642;47461518400;","Death due to severe blood loss following an accidental lesion to the femoral vessels",2019,"The Medico-legal journal","87","4","","196","201",NA,NA,"10.1177/0025817219875425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076331698&doi=10.1177%2f0025817219875425&partnerID=40&md5=70928472b3495e0c2ebeeb2890de3f18","Department of Pathology, State University of New York Upstate Medical University, Syracuse, NY, USA; Office of Forensic Medicine - Research Unit in Forensic Pathology, Sapienza University of Rome, Rome, Italy","Gitto, L., Department of Pathology, State University of New York Upstate Medical University, Syracuse, NY, USA; Bonaccorso, L., Office of Forensic Medicine - Research Unit in Forensic Pathology, Sapienza University of Rome, Rome, Italy; Serinelli, S., Department of Pathology, State University of New York Upstate Medical University, Syracuse, NY, USA","atypical sharp force injury; fatal haemorrhage; femoral artery; femoral vein; Forensic sciences manner of death","","","Article","Final","","Scopus","2-s2.0-85076331698","Paint-Glass","Paint-Glass"
"Lux C., Lubio A., Ruediger A., Robert S., Muehlethaler C.","57211081709;57211079531;6601982880;57204721362;36990536700;","Optimizing the analysis of dyes by Surface-Enhanced Raman Spectroscopy (SERS) using a conventional-microwave silver nanoparticles synthesis",2019,"Forensic Chemistry","16","","100186","","",NA,2,"10.1016/j.forc.2019.100186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072613808&doi=10.1016%2fj.forc.2019.100186&partnerID=40&md5=2e4baf3780a591d78dbe226421d7c8f1","European School of Chemistry, Polymers and Materials, University of Strasbourg, Strasbourg, France; University of Sherbrooke, Electrical and Computer Engineering Department, Sherbrooke, Canada; INRS-EMT, Nanoelectronic and Nanophotonic, Varennes, Canada; Department of Chemistry, Biochemistry and Physics, University of Quebec at Trois-Rivieres, Trois-Rivières, Canada; Laboratoire de Recherche en Criminalistique (LRC), Trois-Rivières, Canada","Lux, C., European School of Chemistry, Polymers and Materials, University of Strasbourg, Strasbourg, France; Lubio, A., University of Sherbrooke, Electrical and Computer Engineering Department, Sherbrooke, Canada, INRS-EMT, Nanoelectronic and Nanophotonic, Varennes, Canada; Ruediger, A., University of Sherbrooke, Electrical and Computer Engineering Department, Sherbrooke, Canada, INRS-EMT, Nanoelectronic and Nanophotonic, Varennes, Canada; Robert, S., Department of Chemistry, Biochemistry and Physics, University of Quebec at Trois-Rivieres, Trois-Rivières, Canada, Laboratoire de Recherche en Criminalistique (LRC), Trois-Rivières, Canada; Muehlethaler, C., Department of Chemistry, Biochemistry and Physics, University of Quebec at Trois-Rivieres, Trois-Rivières, Canada, Laboratoire de Recherche en Criminalistique (LRC), Trois-Rivières, Canada","Dyes; Forensic science; Silver nanoparticles; Surface Enhanced Raman Spectroscopy","","Muehlethaler, C.; Department of Chemistry, Biochemistry and Physics, University of Quebec at Trois-RivieresCanada; email: cyril.muehlethaler@uqtr.ca","Article","Final","","Scopus","2-s2.0-85072613808","Paint-Glass","Paint-Glass"
"Sim L.-X., Zuha R.M.","57211501126;33467991100;","Chrysomya megacephala (Fabricius, 1794) (Diptera: Calliphoridae) development by landmark-based geometric morphometrics of cephalopharyngeal skeleton: a preliminary assessment for forensic entomology application",2019,"Egyptian Journal of Forensic Sciences","9","1","55","","",NA,1,"10.1186/s41935-019-0158-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074213297&doi=10.1186%2fs41935-019-0158-y&partnerID=40&md5=e3df8b028a9fe56c24d73b8f99cd360b","Forensic Science Programme, Faculty of Health Sciences, Universiti Kebangsaan Malaysia, Basement One, Tun Seri Lanang Library, Bangi, Selangor  43600, Malaysia; Centre for Insect Systematics, Faculty of Science & Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor  43600, Malaysia","Sim, L.-X., Forensic Science Programme, Faculty of Health Sciences, Universiti Kebangsaan Malaysia, Basement One, Tun Seri Lanang Library, Bangi, Selangor  43600, Malaysia; Zuha, R.M., Forensic Science Programme, Faculty of Health Sciences, Universiti Kebangsaan Malaysia, Basement One, Tun Seri Lanang Library, Bangi, Selangor  43600, Malaysia, Centre for Insect Systematics, Faculty of Science & Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor  43600, Malaysia","Allometry; Centroid size; Development; Forensic entomology; Geometric morphometrics; MorphoJ","","Zuha, R.M.; Forensic Science Programme, Faculty of Health Sciences, Universiti Kebangsaan Malaysia, Basement One, Tun Seri Lanang Library, Malaysia; email: rmzuha@ukm.edu.my","Article","Final","Open Access","Scopus","2-s2.0-85074213297","Paint-Glass","Paint-Glass"
