Evidence type,Report,References,colour
Audio Analysis,11 IFSS - 1995,,0
Audio Analysis,12 IFSS - 1998,,0
Audio Analysis,13 IFSS - 2001,,0
Audio Analysis,14 IFSS - 2004,56,0
Audio Analysis,15 IFSS - 2007,,0
Audio Analysis,16 IFSS - 2010,63,0
Audio Analysis,17 IFSMS - 2013,133,0
Audio Analysis,18 IFSMS - 2016,88,0
Audio Analysis,19 IFSMS - 2019,,0
Audio Visual,11 IFSS - 1995,,0
Audio Visual,12 IFSS - 1998,,0
Audio Visual,13 IFSS - 2001,,0
Audio Visual,14 IFSS - 2004,,0
Audio Visual,15 IFSS - 2007,180,0
Audio Visual,16 IFSS - 2010,,0
Audio Visual,17 IFSMS - 2013,,0
Audio Visual,18 IFSMS - 2016,,0
Audio Visual,19 IFSMS - 2019,,0
Biological Evidence,11 IFSS - 1995,,0
Biological Evidence,12 IFSS - 1998,,0
Biological Evidence,13 IFSS - 2001,,0
Biological Evidence,14 IFSS - 2004,,1
Biological Evidence,15 IFSS - 2007,334,1
Biological Evidence,16 IFSS - 2010,63,1
Biological Evidence,17 IFSMS - 2013,,1
Biological Evidence,18 IFSMS - 2016,,1
Biological Evidence,19 IFSMS - 2019,,1
Digital evidence,11 IFSS - 1995,,0
Digital evidence,12 IFSS - 1998,,0
Digital evidence,13 IFSS - 2001,,0
Digital evidence,14 IFSS - 2004,0,1
Digital evidence,15 IFSS - 2007,71,1
Digital evidence,16 IFSS - 2010,89,1
Digital evidence,17 IFSMS - 2013,190,1
Digital evidence,18 IFSMS - 2016,100,1
Digital evidence,19 IFSMS - 2019,119,1
DNA,11 IFSS - 1995,,0
DNA,12 IFSS - 1998,,0
DNA,13 IFSS - 2001,,0
DNA,14 IFSS - 2004,93,1
DNA,15 IFSS - 2007,,1
DNA,16 IFSS - 2010,,1
DNA,17 IFSMS - 2013,114,1
DNA,18 IFSMS - 2016,75,1
DNA,19 IFSMS - 2019,244,1
Drugs,11 IFSS - 1995,243,1
Drugs,12 IFSS - 1998,334,1
Drugs,13 IFSS - 2001,408,1
Drugs,14 IFSS - 2004,439,1
Drugs,15 IFSS - 2007,1287,1
Drugs,16 IFSS - 2010,1091,1
Drugs,17 IFSMS - 2013,668,1
Drugs,18 IFSMS - 2016,1434,1
Drugs,19 IFSMS - 2019,1787,1
Environmental Crime,11 IFSS - 1995,,0
Environmental Crime,12 IFSS - 1998,,0
Environmental Crime,13 IFSS - 2001,,0
Environmental Crime,14 IFSS - 2004,302,0
Environmental Crime,15 IFSS - 2007,376,0
Environmental Crime,16 IFSS - 2010,236,0
Environmental Crime,17 IFSMS - 2013,,0
Environmental Crime,18 IFSMS - 2016,,0
Environmental Crime,19 IFSMS - 2019,,0
Explosives,11 IFSS - 1995,,0
Explosives,12 IFSS - 1998,,0
Explosives,13 IFSS - 2001,,0
Explosives,14 IFSS - 2004,89,1
Explosives,15 IFSS - 2007,107,1
Explosives,16 IFSS - 2010,565,1
Explosives,17 IFSMS - 2013,1341,1
Explosives,18 IFSMS - 2016,646,1
Explosives,19 IFSMS - 2019,1005,1
Fibres and Textiles,11 IFSS - 1995,,0
Fibres and Textiles,12 IFSS - 1998,,0
Fibres and Textiles,13 IFSS - 2001,,0
Fibres and Textiles,14 IFSS - 2004,78,1
Fibres and Textiles,15 IFSS - 2007,56,1
Fibres and Textiles,16 IFSS - 2010,67,1
Fibres and Textiles,17 IFSMS - 2013,68,1
Fibres and Textiles,18 IFSMS - 2016,92,1
Fibres and Textiles,19 IFSMS - 2019,57,1
Fingermarks,11 IFSS - 1995,,0
Fingermarks,12 IFSS - 1998,,0
Fingermarks,13 IFSS - 2001,,0
Fingermarks,14 IFSS - 2004,393,1
Fingermarks,15 IFSS - 2007,282,1
Fingermarks,16 IFSS - 2010,427,1
Fingermarks,17 IFSMS - 2013,472,1
Fingermarks,18 IFSMS - 2016,536,1
Fingermarks,19 IFSMS - 2019,599,1
Fire Investigation,11 IFSS - 1995,,0
Fire Investigation,12 IFSS - 1998,,0
Fire Investigation,13 IFSS - 2001,,0
Fire Investigation,14 IFSS - 2004,229,1
Fire Investigation,15 IFSS - 2007,92,1
Fire Investigation,16 IFSS - 2010,169,1
Fire Investigation,17 IFSMS - 2013,140,1
Fire Investigation,18 IFSMS - 2016,194,1
Fire Investigation,19 IFSMS - 2019,157,1
Firearms,11 IFSS - 1995,,0
Firearms,12 IFSS - 1998,,0
Firearms,13 IFSS - 2001,,0
Firearms,14 IFSS - 2004,227,1
Firearms,15 IFSS - 2007,106,1
Firearms,16 IFSS - 2010,152,1
Firearms,17 IFSMS - 2013,159,1
Firearms,18 IFSMS - 2016,179,1
Firearms,19 IFSMS - 2019,189,1
Forensic Geosciences,11 IFSS - 1995,,0
Forensic Geosciences,12 IFSS - 1998,,0
Forensic Geosciences,13 IFSS - 2001,,0
Forensic Geosciences,14 IFSS - 2004,79,1
Forensic Geosciences,15 IFSS - 2007,187,1
Forensic Geosciences,16 IFSS - 2010,106,1
Forensic Geosciences,17 IFSMS - 2013,102,1
Forensic Geosciences,18 IFSMS - 2016,245,1
Forensic Geosciences,19 IFSMS - 2019,,1
Gunshot Residues,11 IFSS - 1995,,0
Gunshot Residues,12 IFSS - 1998,,0
Gunshot Residues,13 IFSS - 2001,,0
Gunshot Residues,14 IFSS - 2004,,1
Gunshot Residues,15 IFSS - 2007,,1
Gunshot Residues,16 IFSS - 2010,,1
Gunshot Residues,17 IFSMS - 2013,49,1
Gunshot Residues,18 IFSMS - 2016,77,1
Gunshot Residues,19 IFSMS - 2019,90,1
Hair,11 IFSS - 1995,,0
Hair,12 IFSS - 1998,,0
Hair,13 IFSS - 2001,,0
Hair,14 IFSS - 2004,36,0
Hair,15 IFSS - 2007,,0
Hair,16 IFSS - 2010,,0
Hair,17 IFSMS - 2013,,0
Hair,18 IFSMS - 2016,,0
Hair,19 IFSMS - 2019,,0
Handwriting,11 IFSS - 1995,,0
Handwriting,12 IFSS - 1998,,0
Handwriting,13 IFSS - 2001,,0
Handwriting,14 IFSS - 2004,135,0
Handwriting,15 IFSS - 2007,,0
Handwriting,16 IFSS - 2010,,0
Handwriting,17 IFSMS - 2013,,0
Handwriting,18 IFSMS - 2016,,0
Handwriting,19 IFSMS - 2019,,0
Hazardous Materials,11 IFSS - 1995,,0
Hazardous Materials,12 IFSS - 1998,,0
Hazardous Materials,13 IFSS - 2001,,0
Hazardous Materials,14 IFSS - 2004,,0
Hazardous Materials,15 IFSS - 2007,77,0
Hazardous Materials,16 IFSS - 2010,144,0
Hazardous Materials,17 IFSMS - 2013,,0
Hazardous Materials,18 IFSMS - 2016,,0
Hazardous Materials,19 IFSMS - 2019,,0
Imaging,11 IFSS - 1995,,0
Imaging,12 IFSS - 1998,,0
Imaging,13 IFSS - 2001,,0
Imaging,14 IFSS - 2004,86,0
Imaging,15 IFSS - 2007,,0
Imaging,16 IFSS - 2010,,0
Imaging,17 IFSMS - 2013,241,0
Imaging,18 IFSMS - 2016,,0
Imaging,19 IFSMS - 2019,,0
Paint and Glass,11 IFSS - 1995,,0
Paint and Glass,12 IFSS - 1998,,0
Paint and Glass,13 IFSS - 2001,,0
Paint and Glass,14 IFSS - 2004,159,1
Paint and Glass,15 IFSS - 2007,269,1
Paint and Glass,16 IFSS - 2010,479,1
Paint and Glass,17 IFSMS - 2013,201,1
Paint and Glass,18 IFSMS - 2016,102,1
Paint and Glass,19 IFSMS - 2019,119,1
Questioned Documents,11 IFSS - 1995,,0
Questioned Documents,12 IFSS - 1998,,0
Questioned Documents,13 IFSS - 2001,,0
Questioned Documents,14 IFSS - 2004,144,1
Questioned Documents,15 IFSS - 2007,154,1
Questioned Documents,16 IFSS - 2010,221,1
Questioned Documents,17 IFSMS - 2013,275,1
