JounalTitle	JounalAbbreviation
2011 IEEE VIRTUAL REALITY CONFERENCE VR	P IEEE VIRT REAL ANN
2013 IEEE VIRTUAL REALITY CONFERENCE VR	P IEEE VIRT REAL ANN
2015 IEEE VIRTUAL REALITY CONFERENCE VR	P IEEE VIRT REAL ANN
2011 30TH INTERNATIONAL CONFERENCE OF THE CHILEAN COMPUTER SCIENCE SOCIETY SCCC	P INT C CHIL COMPUT
2012 31ST INTERNATIONAL CONFERENCE OF THE CHILEAN COMPUTER SCIENCE SOCIETY SCCC 2012	P INT C CHIL COMPUT
2012 19TH INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING HIPC	P INT C HIGH PERFORM
"2009 IEEE 33RD INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE, VOLS 1 AND 2"	P INT COMP SOFTW APP
2011 35TH IEEE ANNUAL INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE COMPSAC	P INT COMP SOFTW APP
2012 IEEE 36TH ANNUAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE COMPSAC	P INT COMP SOFTW APP
2013 IEEE 37TH ANNUAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE COMPSAC	P INT COMP SOFTW APP
"2014 IEEE 38TH ANNUAL INTERNATIONAL COMPUTERS, SOFTWARE AND APPLICATIONS CONFERENCE COMPSAC"	P INT COMP SOFTW APP
24TH ANNUAL INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE COSPSAC 2000	P INT COMP SOFTW APP
25TH ANNUAL INTERNATIONAL COMPUTER SOFTWARE & APPLICATIONS CONFERENCE	P INT COMP SOFTW APP
"26TH ANNUAL INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE, PROCEEDINGS"	P INT COMP SOFTW APP
"30th Annual International Computer Software and Applications Conference, Vol 1, Regular Papers/Panels, Proceedings"	P INT COMP SOFTW APP
"30th Annual International Computer Software and Applications Conference, Vol 2, Short Papers/Workshops/Fast Abstracts/Doctoral Symposium, Proceedings"	P INT COMP SOFTW APP
"39TH ANNUAL IEEE COMPUTERS, SOFTWARE AND APPLICATIONS CONFERENCE COMPSAC 2015, VOL 1"	P INT COMP SOFTW APP
1990 PROCEEDINGS : ANNUAL RELIABILITY AND MAINTAINABILITY SYMPOSIUM	P REL MAINT S
1991 PROCEEDINGS : ANNUAL RELIABILITY AND MAINTAINABILITY SYMPOSIUM	P REL MAINT S
"2006 Proceedings - Annual Reliability and Maintainability Symposium, Vols 1 and 2"	P REL MAINT S
2014 60TH ANNUAL RELIABILITY AND MAINTAINABILITY SYMPOSIUM RAMS	P REL MAINT S
2015 61ST ANNUAL RELIABILITY AND MAINTAINABILITY SYMPOSIUM RAMS 2015	P REL MAINT S
"13TH IEEE SYMPOSIUM ON COMPUTER ARITHMETIC, PROCEEDINGS"	P S COMP ARITHM
"14TH IEEE SYMPOSIUM ON COMPUTER ARITHMETIC, PROCEEDINGS"	P S COMP ARITHM
"16TH IEEE SYMPOSIUM ON COMPUTER ARITHMETIC, PROCEEDINGS"	P S COMP ARITHM
"17th IEEE Symposium on Computer Arithmetic, Proceedings"	P S COMP ARITHM
"18th IEEE Symposium on Computer Arithmetic, Proceedings"	P S COMP ARITHM
2011 20TH IEEE SYMPOSIUM ON COMPUTER ARITHMETIC ARITH-20	P S COMP ARITHM
2013 21ST IEEE SYMPOSIUM ON COMPUTER ARITHMETIC ARITH	P S COMP ARITHM
10TH ANNUAL SYMPOSIUM ON MICROLITHOGRAPHY	P SOC PHOTO-OPT INS
10TH INTERNATIONAL SYMPOSIUM ON NANOSTRUCTURES: PHYSICS AND TECHNOLOGY	P SOC PHOTO-OPT INS
10TH MEETING ON OPTICAL ENGINEERING IN ISRAEL	P SOC PHOTO-OPT INS
11TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY	P SOC PHOTO-OPT INS
11TH INTERNATIONAL SCHOOL ON QUANTUM ELECTRONICS: LASER PHYSICS AND APPLICATIONS	P SOC PHOTO-OPT INS
11TH INTERNATIONAL VAVILOV CONFERENCE ON NONLINEAR OPTICS	P SOC PHOTO-OPT INS
11TH SLOVAK-CZECH-POLISH OPTICAL CONFERENCE ON WAVE AND QUANTUM ASPECTS OF  CONTEMPORARY OPTICS	P SOC PHOTO-OPT INS
11TH SYMPOSIUM AND SCHOOL ON HIGH-RESOLUTION MOLECULAR SPECTROSCOPY	P SOC PHOTO-OPT INS
12TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT	P SOC PHOTO-OPT INS
12TH CZECH-SLOVAK-POLISH OPTICAL CONFERENCE ON WAVE AND QUANTUM ASPECTS OF  CONTEMPORARY OPTICS	P SOC PHOTO-OPT INS
12TH INTERNATIONAL SCHOOL ON QUANTUM ELECTRONICS: LASER PHYSICS AND APPLICATIONS	P SOC PHOTO-OPT INS
12TH INTERNATIONAL WORKSHOP ON LIDAR MULTIPLE SCATTERING EXPERIMENTS	P SOC PHOTO-OPT INS
12TH SYMPOSIUM AND SCHOOL ON HIGH-RESOLUTION MOLECULAR SPECTROSCOPY	P SOC PHOTO-OPT INS
13TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT	P SOC PHOTO-OPT INS
13TH POLISH-CZECH-SLOVAK CONFERENCE ON WAVE AND QUANTUM ASPECTS OF CONTEMPORARY OPTICS	P SOC PHOTO-OPT INS
13TH SYMPOSIUM AND SCHOOL ON HIGH-RESOLUTION MOLECULAR SPECTROSCOPY	P SOC PHOTO-OPT INS
13th International School on Quantum Electronics: Laser Physics and Applications	P SOC PHOTO-OPT INS
13th International Workshop on Lidar Multiple Scattering Experiments	P SOC PHOTO-OPT INS
"14TH ANNUAL BACUS SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT, PROCEEDINGS"	P SOC PHOTO-OPT INS
14TH INTERNATIONAL CONFERENCE ON OPTICAL FIBER SENSORS	P SOC PHOTO-OPT INS
14TH SYMPOSIUM ON HIGH-RESOLUTION MOLECULAR SPECTROSCOPY	P SOC PHOTO-OPT INS
14TH SYMPOSIUM ON PHOTONIC MEASUREMENTS	P SOC PHOTO-OPT INS
14th International School on Quantum Electronics: Laser Physics and Applications	P SOC PHOTO-OPT INS
"15TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT, PROCEEDINGS"	P SOC PHOTO-OPT INS
15TH EUROPEAN CONFERENCE ON MASK TECHNOLOGY FOR INTEGRATED CIRCUITS AND MICROCOMPONENTS '98	P SOC PHOTO-OPT INS
15th Czech-Polish-Slovak Conference on Wave and Quantum Aspects of Contemporary Optics	P SOC PHOTO-OPT INS
15th Symposium on High-Resolution Molecular Spectroscopy	P SOC PHOTO-OPT INS
16TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT	P SOC PHOTO-OPT INS
"16TH CONGRESS OF THE INTERNATIONAL COMMISSION FOR OPTICS : OPTICS AS A KEY TO HIGH TECHNOLOGY, PTS 1 AND 2"	P SOC PHOTO-OPT INS
16TH EUROPEAN CONFERENCE ON MASK TECHNOLOGY FOR INTEGRATED CIRCUITS AND MICROCOMPONENTS	P SOC PHOTO-OPT INS
16TH INTERNATIONAL CONFERENCE ON PHOTOELECTRONICS AND NIGHT VISION DEVICES	P SOC PHOTO-OPT INS
17TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT	P SOC PHOTO-OPT INS
"17TH CONGRESS OF THE INTERNATIONAL COMMISSION FOR OPTICS: OPTICS FOR SCIENCE AND NEW TECHNOLOGY, PTS 1 AND 2"	P SOC PHOTO-OPT INS
17TH EUROPEAN CONFERENCE ON MASK TECHNOLOGY FOR INTEGRATED CIRCUITS AND MICROCOMPONENTS	P SOC PHOTO-OPT INS
17TH INTERNATIONAL CONFERENCE ON PHOTOELECTRONICS AND NIGHT VISION DEVICES	P SOC PHOTO-OPT INS
17TH SLOVAK-CZECH-POLISH OPTICAL CONFERENCE ON WAVE AND QUANTUM ASPECTS OF CONTEMPORARY OPTICS	P SOC PHOTO-OPT INS
"17th International Conference on Optical Fibre Sensors, Pts 1 and 2"	P SOC PHOTO-OPT INS
18TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY AND MANAGEMENT	P SOC PHOTO-OPT INS
"18TH CONGRESS OF THE INTERNATIONAL COMMISSION FOR OPTICS: OPTICS FOR THE NEXT MILLENNIUM, TECHNICAL DIGEST"	P SOC PHOTO-OPT INS
18TH EUROPEAN CONFERENCE ON MASK TECHNOLOGY FOR INTEGRATED CIRCUITS AND MICROCOMPONENTS	P SOC PHOTO-OPT INS
18th International Conference on Photoelectronics and Night Vision Devices	P SOC PHOTO-OPT INS
"1966 INTERNATIONAL CONFERENCE ON MULTICHIP MODULES, PROCEEDINGS"	P SOC PHOTO-OPT INS
1992 ICO TOPICAL MEETING ON OPTICAL COMPUTING	P SOC PHOTO-OPT INS
1992 INTERNATIONAL CONFERENCE ON LASERS AND OPTOELECTRONICS	P SOC PHOTO-OPT INS
1992 SHANGHAI INTERNATIONAL SYMPOSIUM ON QUANTUM OPTICS	P SOC PHOTO-OPT INS
1992 TOPICAL MEETING ON PHOTONIC SWITCHING	P SOC PHOTO-OPT INS
1993 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
1994 TOPICAL MEETING ON OPTICAL DATA STORAGE	P SOC PHOTO-OPT INS
1995 INTERNATIONAL CONFERENCE ON EDUCATION IN OPTICS	P SOC PHOTO-OPT INS
1995 INTERNATIONAL CONFERENCE ON MULTICHIP MODULES	P SOC PHOTO-OPT INS
1995 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
1996 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
"1997 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS, PROCEEDINGS"	P SOC PHOTO-OPT INS
1997 SHANGHAI INTERNATIONAL CONFERENCE ON LASER MEDICINE AND SURGERY	P SOC PHOTO-OPT INS
1998 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
1999 INTERNATIONAL CONFERENCE ON BIOMEDICAL OPTICS BMO'99	P SOC PHOTO-OPT INS
"1999 INTERNATIONAL CONFERENCE ON HIGH DENSITY PACKAGING AND MCMS, PROCEEDINGS"	P SOC PHOTO-OPT INS
1999 INTERNATIONAL CONFERENCE ON INDUSTRIAL LASERS IL'99	P SOC PHOTO-OPT INS
"1999 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS, PROCEEDINGS"	P SOC PHOTO-OPT INS
"19TH ANNUAL SYMPOSIUM ON PHOTOMASK TECHNOLOGY, PTS 1 AND 2"	P SOC PHOTO-OPT INS
19TH EUROPEAN CONFERENCE ON MASK TECHNOLOGY FOR INTEGRATED CIRCUITS AND MICROCOMPONENTS	P SOC PHOTO-OPT INS
"19TH INTERNATIONAL CONFERENCE ON OPTICAL FIBRE SENSORS, PTS 1 AND 2"	P SOC PHOTO-OPT INS
"19TH INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS, PTS 1 AND 2"	P SOC PHOTO-OPT INS
19th International Conference on Photoelectronics and Night Vision Devices	P SOC PHOTO-OPT INS
"1ST ANNUAL INTERNATIONAL CONFERENCE ON SOLID STATE LASERS FOR APPLICATION TO INERTIAL CONFINEMENT FUSION, PROCEEDINGS"	P SOC PHOTO-OPT INS
1ST INTERNATIONAL SYMPOSIUM ON LASER PRECISION MICROFABRICATION	P SOC PHOTO-OPT INS
2000 HD INTERNATIONAL CONFERENCE ON HIGH-DENSITY INTERCONNECT AND SYSTEMS PACKAGING	P SOC PHOTO-OPT INS
2000 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
"2001 HD INTERNATIONAL CONFERENCE ON HIGH-DENSITY INTERCONNECT AND SYSTEMS PACKAGING, PROCEEDINGS"	P SOC PHOTO-OPT INS
"2001 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS, PROCEEDINGS"	P SOC PHOTO-OPT INS
"2002 INTERNATIONAL CONFERENCE ON ADVANCED PACKAGING AND SYSTEMS, PROCEEDINGS"	P SOC PHOTO-OPT INS
"2002 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS, PROCEEDINGS"	P SOC PHOTO-OPT INS
2003 INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
2008 INTERNATIONAL CONFERENCE ON OPTICAL INSTRUMENTS AND TECHNOLOGY: ADVANCED SENSOR TECHNOLOGIES AND APPLICATIONS	P SOC PHOTO-OPT INS
2008 INTERNATIONAL CONFERENCE ON OPTICAL INSTRUMENTS AND TECHNOLOGY: MEMS/NEMS TECHNOLOGY AND APPLICATIONS	P SOC PHOTO-OPT INS
2008 INTERNATIONAL CONFERENCE ON OPTICAL INSTRUMENTS AND TECHNOLOGY: MICROELECTRONIC AND OPTOELECTRONIC DEVICES AND INTEGRATION	P SOC PHOTO-OPT INS
2008 INTERNATIONAL CONFERENCE ON OPTICAL INSTRUMENTS AND TECHNOLOGY: OPTICAL SYSTEMS AND OPTOELECTRONIC INSTRUMENTS	P SOC PHOTO-OPT INS
2008 INTERNATIONAL CONFERENCE ON OPTICAL INSTRUMENTS AND TECHNOLOGY: OPTOELECTRONIC MEASUREMENT TECHNOLOGY AND APPLICATIONS	P SOC PHOTO-OPT INS
2010 INTERNATIONAL CONFERENCE ON DISPLAY AND PHOTONICS	P SOC PHOTO-OPT INS
20TH ANNUAL BACUS SYMPOSIUM ON PHOTOMASK TECHNOLOGY	P SOC PHOTO-OPT INS
20TH EUROPEAN CONFERENCE ON MASK TECHNOLOGY FOR INTEGRATED CIRCUITS AND MICROCOMPONENTS	P SOC PHOTO-OPT INS
"20TH INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS, PTS 1 AND 2"	P SOC PHOTO-OPT INS
"21ST ANNUAL BACUS SYMPOSIUM ON PHOTOMASK TECHNOLOGY, PTS 1 AND 2"	P SOC PHOTO-OPT INS
21ST INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS	P SOC PHOTO-OPT INS
"22ND ANNUAL BACUS SYMPOSIUM ON PHOTOMASK TECHNOLOGY, PTS 1 AND 2"	P SOC PHOTO-OPT INS
22ND INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS	P SOC PHOTO-OPT INS
"23RD ANNUAL BACUS SYMPOSIUM ON PHOTOMASK TECHNOLOGY, PTS 1 AND 2"	P SOC PHOTO-OPT INS
23RD EUROPEAN MEETING ON ATMOSPHERIC STUDIES BY OPTICAL METHODS	P SOC PHOTO-OPT INS
"23RD INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS, PT 1"	P SOC PHOTO-OPT INS
"24TH ANNUAL BACUS SYMPOSIUM ON PHOTOMASK TECHNOLOGY, PT 1 AND 2"	P SOC PHOTO-OPT INS
24TH INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS	P SOC PHOTO-OPT INS
25TH INTERNATIONAL CONGRESS ON HIGH-SPEED PHOTOGRAPHY AND PHOTONICS	P SOC PHOTO-OPT INS
26TH EUROPEAN MASK AND LITHOGRAPHY CONFERENCE	P SOC PHOTO-OPT INS
26th International Congress on High Speed Photography and Photonics	P SOC PHOTO-OPT INS
27TH EUROPEAN MASK AND LITHOGRAPHY CONFERENCE	P SOC PHOTO-OPT INS
27TH INTERNATIONAL SYMPOSIUM ON MICROELECTRONICS	P SOC PHOTO-OPT INS
"27th International Congress on High Speed Photography and Photonics, Prts 1-3"	P SOC PHOTO-OPT INS
28TH AIPR WORKSHOP: 3D VISUALIZATION FOR DATA EXPLORATION AND DECISION MAKING	P SOC PHOTO-OPT INS
28TH INTERNATIONAL CONGRESS ON HIGH-SPEED IMAGING AND PHOTONICS	P SOC PHOTO-OPT INS
2ND WORKSHOP ON SPECIALTY OPTICAL FIBERS AND THEIR APPLICATIONS WSOF-2	P SOC PHOTO-OPT INS
2nd International Conference on Advanced Optical Manufacturing and Testing Technologies: Advanced Optical Manufacturing Technologies	P SOC PHOTO-OPT INS
2nd International Symposium on Advanced Optical Manufacturing and Testing Technologies: Large Mirrors and Telescopes	P SOC PHOTO-OPT INS
"2nd International Symposium on Advanced Optical Manufacturing and Testing Technologies: Optical Test and Measurement Technology and Equipment, Pts 1 and 2"	P SOC PHOTO-OPT INS
"3RD IBEROAMERICAN OPTICS MEETING AND 6TH LATIN AMERICAN MEETING ON OPTICS,  LASERS, AND THEIR APPLICATIONS"	P SOC PHOTO-OPT INS
3RD INTERNATIONAL CONFERENCE ON OPTICAL INFORMATION PROCESSING	P SOC PHOTO-OPT INS
3RD INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: LARGE MIRRORS AND TELESCOPES	P SOC PHOTO-OPT INS
"3RD INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: OPTICAL TEST AND MEASUREMENT TECHNOLOGY AND EQUIPMENT, PARTS 1-3"	P SOC PHOTO-OPT INS
"4TH IBEROAMERICAN MEETING ON OPTICS AND 7TH LATIN AMERICAN MEETING ON OPTICS, LASERS, AND THEIR APPLICATIONS"	P SOC PHOTO-OPT INS
5TH EUROPEAN CONFERENCE ON INTEGRATED OPTICS	P SOC PHOTO-OPT INS
5TH INTERNATIONAL CONFERENCE ON INDUSTRIAL LASERS AND LASER APPLICATIONS '95	P SOC PHOTO-OPT INS
5TH INTERNATIONAL CONFERENCE ON LASER APPLICATIONS IN LIFE SCIENCES	P SOC PHOTO-OPT INS
5TH INTERNATIONAL PHOTODYNAMIC ASSOCIATION BIENNIAL MEETING	P SOC PHOTO-OPT INS
5TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: ADVANCED OPTICAL MANUFACTURING TECHNOLOGIES	P SOC PHOTO-OPT INS
"5TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: DESIGN, MANUFACTURING, AND TESTING OF MICRO- AND NANO-OPTICAL DEVICES AND SYSTEMS"	P SOC PHOTO-OPT INS
5TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: LARGE MIRRORS AND TELESCOPES	P SOC PHOTO-OPT INS
5TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: OPTICAL TEST AND MEASUREMENT TECHNOLOGY AND EQUIPMENT	P SOC PHOTO-OPT INS
"5TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: OPTOELECTRONIC MATERIALS AND DEVICES FOR DETECTOR, IMAGER, DISPLAY, AND ENERGY CONVERSION TECHNOLOGY"	P SOC PHOTO-OPT INS
5TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: SMART STRUCTURES AND MATERIALS IN MANUFACTURING AND TESTING	P SOC PHOTO-OPT INS
5TH INTERNATIONAL WORKSHOP ON IMAGE PROCESSING AND COMPUTER OPTICS DIP-94	P SOC PHOTO-OPT INS
5th International Workshop on Adaptive Optics for Industry and Medicine	P SOC PHOTO-OPT INS
5th Workshop on Atomic and Molecular Physics	P SOC PHOTO-OPT INS
6TH INTERNATIONAL CONFERENCE ON INDUSTRIAL LASERS AND LASER APPLICATIONS '98	P SOC PHOTO-OPT INS
6TH INTERNATIONAL SYMPOSIUM ON PRECISION ENGINEERING MEASUREMENTS AND INSTRUMENTATION	P SOC PHOTO-OPT INS
6TH INTERNATIONAL WORKSHOP ON DIGITAL IMAGE PROCESSING AND COMPUTER GRAPHICS DIP-97	P SOC PHOTO-OPT INS
7TH INTERNATIONAL CONFERENCE ON FOURIER TRANSFORM SPECTROSCOPY	P SOC PHOTO-OPT INS
7TH INTERNATIONAL SYMPOSIUM ON  INSTRUMENTATION AND CONTROL TECHNOLOGY: MEASUREMENT THEORY AND SYSTEMS AND AERONAUTICAL EQUIPMENT	P SOC PHOTO-OPT INS
7TH MEETING IN ISRAEL ON OPTICAL ENGINEERING	P SOC PHOTO-OPT INS
8TH INTERNATIONAL CONFERENCE ON CORRELATION OPTICS	P SOC PHOTO-OPT INS
8TH INTERNATIONAL CONFERENCE ON FOURIER TRANSFORM SPECTROSCOPY	P SOC PHOTO-OPT INS
9TH INTERNATIONAL CONFERENCE ON FOURIER TRANSFORM SPECTROSCOPY	P SOC PHOTO-OPT INS
9TH MEETING ON OPTICAL ENGINEERING IN ISRAEL	P SOC PHOTO-OPT INS
1966 HOT MELT SYMPOSIUM	P TECH AS P
1989 COATING CONFERENCE	P TECH AS P
"1990 ENGINEERING CONFERENCE, BOOK 1 AND 2"	P TECH AS P
"1990 ENVIRONMENTAL CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1990 FINISHING AND CONVERTING CONFERENCE	P TECH AS P
1990 PAPERMAKERS CONFERENCE	P TECH AS P
"1990 POLYMERS, LAMINATIONS & COATINGS CONFERENCE, BOOK 1 AND 2"	P TECH AS P
"1990 PULPING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1991 COATING CONFERENCE	P TECH AS P
"1991 ENVIRONMENTAL CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1991 INTERNATIONAL MECHANICAL PULPING CONFERENCE	P TECH AS P
"1991 INTERNATIONAL PAPER PHYSICS CONFERENCE, BOOK 1 AND 2"	P TECH AS P
1991 NONWOVENS CONFERENCE	P TECH AS P
1991 PAPERMAKERS CONFERENCE	P TECH AS P
1991 SHEET FLUTTER & WINDAGE PROBLEMS SEMINAR	P TECH AS P
1991 TAPPI / ISA PUPID PROCESS CONTROL CONFERENCE	P TECH AS P
1992 COATING CONFERENCE	P TECH AS P
1992 CORRUGATED CONTAINERS CONFERENCE	P TECH AS P
"1992 ENGINEERING CONFERENCE, BOOKS 1-3"	P TECH AS P
"1992 ENVIRONMENTAL CONFERENCE, BOOKS 1-3"	P TECH AS P
1992 FINISHING AND CONVERTING CONFERENCE	P TECH AS P
"1992 INTERNATIONAL CHEMICAL RECOVERY CONFERENCE : PROCEEDINGS, BOOKS 1 AND 2"	P TECH AS P
1992 INTERNATIONAL PRINTING & GRAPHIC ARTS CONFERENCE	P TECH AS P
1992 NONWOVENS CONFERENCE	P TECH AS P
"1992 POLYMERS, LAMINATIONS & COATINGS CONFERENCE"	P TECH AS P
1992 PROCESS AND PRODUCT QUALITY CONFERENCE	P TECH AS P
"1992 PULPING CONFERENCE, BOOKS 1-3"	P TECH AS P
1993 COATING CONFERENCE	P TECH AS P
"1993 ENGINEERING CONFERENCE, BOOKS 1-3"	P TECH AS P
"1993 ENVIRONMENTAL CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1993 NONWOVENS CONFERENCE : PROCEEDINGS	P TECH AS P
"1993 PAPERMAKERS CONFERENCE : PROCEEDINGS, BOOKS 1 AND 2"	P TECH AS P
"1993 POLYMERS, LAMINATIONS & COATINGS CONFERENCE, VOLS 1 AND 2"	P TECH AS P
"1993 PULPING CONFERENCE, BOOKS 1-3"	P TECH AS P
1993 TAPPI / ISA PUPID PROCESS-CONTROL CONFERENCE	P TECH AS P
"1994 BIOLOGICAL SCIENCES SYMPOSIUM, PROCEEDINGS"	P TECH AS P
"1994 COATING CONFERENCE, PROCEEDINGS"	P TECH AS P
"1994 ENGINEERING CONFERENCE, PROCEEDINGS, BOOKS 1-3"	P TECH AS P
"1994 FINISHING AND CONVERTING CONFERENCE, PROCEEDINGS"	P TECH AS P
1994 HOT MELT SYMPOSIUM	P TECH AS P
1994 NONWOVENS CONFERENCE	P TECH AS P
"1994 PAPERMAKERS CONFERENCES, BOOKS 1-2"	P TECH AS P
1994 PLASTIC LAMINATES SYMPOSIUM	P TECH AS P
"1994 POLYMERS, LAMINATIONS & COATINGS CONFERENCE"	P TECH AS P
1994 PROCESS AND PRODUCT QUALITY CONFERENCE	P TECH AS P
1994 PROCESS CONTROL SYMPOSIUM	P TECH AS P
"1994 PULPING CONFERENCE, BOOKS 1-3"	P TECH AS P
1994 RECYCLING SYMPOSIUM	P TECH AS P
"1995 COATING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1995 COATING FUNDAMENTALS SYMPOSIUM	P TECH AS P
1995 HOT MELT SYMPOSIUM	P TECH AS P
"1995 INTERNATIONAL ENVIRONMENTAL CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1995 NONWOVENS CONFERENCE	P TECH AS P
1995 PAPERMAKERS CONFERENCE	P TECH AS P
"1995 POLYMERS, LAMINATIONS & COATINGS CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1995 PROCESS & PRODUCT QUALITY CONFERENCE	P TECH AS P
"1995 PULPING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1995 RECYCLING SYMPOSIUM	P TECH AS P
"1995 TAPPI/ISA PUPID PROCESS CONTROL, ELECTRICAL & INFORMATION CONFERENCE"	P TECH AS P
1996 COATING CONFERENCE PROCEEDINGS	P TECH AS P
"1996 ENGINEERING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1996 FINISHING & CONVERTING CONFERENCE	P TECH AS P
1996 INTERNATIONAL ENVIRONMENTAL CONFERENCE BOOKS 1 AND 2	P TECH AS P
1996 INTERNATIONAL PRINTING & GRAPHIC ARTS CONFERENCE	P TECH AS P
"1996 INTERNATIONAL PULP BLEACHING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1996 METERED SIZE PRESS FORUM PROCEEDINGS	P TECH AS P
1996 NONWOVENS CONFERENCE	P TECH AS P
1996 PAPERMAKERS CONFERENCE	P TECH AS P
1996 PLASTIC LAMINATES SYMPOSIUM	P TECH AS P
"1996 POLYMERS, LAMINATIONS & COATINGS CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1996 PROCESS & PRODUCT QUALITY CONFERENCE	P TECH AS P
1996 PROCESS CONTROL ELECTRICAL & INFORMATION CONFERENCE	P TECH AS P
"1996 PULPING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1996 RECYCLING SYMPOSIUM	P TECH AS P
1996 TAPPI LIFE CYCLE ASSESSMENT SYMPOSIUM	P TECH AS P
1996 TAPPI MINIMUM EFFLUENT MILLS SYMPOSIUM	P TECH AS P
1997 ASIAN INTERNATIONAL LAMINATES SYMPOSIUM	P TECH AS P
1997 BIOLOGICAL SCIENCES SYMPOSIUM	P TECH AS P
1997 COATING CONFERENCE	P TECH AS P
"1997 ENVIRONMENTAL CONFERENCE & EXHIBIT, BOOKS 1 AND 2"	P TECH AS P
1997 FINISHING AND CONVERTING CONFERENCE & TRADE FAIR	P TECH AS P
1997 HOT MELT SYMPOSIUM	P TECH AS P
1997 NEWSPRINT FORUM	P TECH AS P
1997 NONWOVENS CONFERENCE	P TECH AS P
"1997 POLYMERS, LAMINATIONS, & COATING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1997 PROCESS & PRODUCT QUALITY CONFERENCE & TRADE FAIR	P TECH AS P
"1997 PULPING CONFERENCE, BOOKS 1 AND 2"	P TECH AS P
1997 RECYCLING SYMPOSIUM	P TECH AS P
