"raw.x","raw.y","pass"
"4 BROMO 2 5 DIMETHOXYPHENETHYLAMINE 2C B  A REVIEW OF THE PUBLIC DOMAIN LITERATURE","4 BROMO 2 5 DIMETHOXYPHENETHYLAMINE 2C B A REVIEW OF THE PUBLIC DOMAIN LITERATURE","Partial"
"A COMPREHENSIVE STATISTICAL ANALYSIS OF STRIATED TOOLMARK EXAMINATIONS PART 2 COMPARING KNOWN MATCHES AND KNOWN NON MATCHES USING LIKELIHOOD RATIOS","A COMPREHENSIVE STATISTICAL ANALYSIS OF STRIATED TOOL MARK EXAMINATIONS PART 2 COMPARING KNOWN MATCHES AND KNOWN NON MATCHES USING LIKELIHOOD RATIOS","Partial"
"GRANULE SIZE DISTRIBUTION OF TABLETS","A SYSTEMATIC STUDY TO UNDERSTAND THE EFFECTS OF PARTICLE SIZE DISTRIBUTION OF MAGNETIC FINGERPRINT POWDERS ON SURFACES WITH VARIOUS POROSITIES","Partial"
"PIPERAZINE DESIGNER DRUGS OF ABUSE","A2 N BENZYLPIPERAZINE A NEW DRUG OF ABUSE IN SWEDEN","Partial"
"XTC CHARACTERISATION USING ICPMS","ADVANCED MINERALOGY RESEARCH MINERAL CHARACTERIZATION USING QEMSCAN TECHNIQUES","Partial"
"CAPILLARY ELECTROPHORESIS IN CLINICAL AND FORENSIC ANALYSIS","ADVANCES OF CAPILLARY ELECTROPHORESIS IN CLINICAL AND FORENSIC ANALYSIS 1999 2000","Partial"
"QUANTITATIVE SURFACE ENHANCED RAMAN SPECTROSCOPY","AG AU NANOPARTICLE LOADED PAPER BASED VERSATILE SURFACE ENHANCED RAMAN SPECTROSCOPY SUBSTRATES FOR MULTIPLE EXPLOSIVES DETECTION","Partial"
"ANALYSIS OF OHAPPY WATER SAMPLES","AN EVALUATION OF TWO WASH PROCEDURES FOR THE DIFFERENTIATION OF EXTERNAL CONTAMINATION VERSUS INGESTION IN THE ANALYSIS OF HUMAN HAIR SAMPLES FOR COCAINE","Partial"
"ANALYSIS OF A SUSPECTED DRUG SAMPLE","AN EXPLORATORY ANALYSIS OF SUSPECTED DRUG FACILITATED SEXUAL ASSAULT SEEN IN HOSPITAL EMERGENCY DEPARTMENT","Partial"
"AN EXPLORATORY BAYESIAN MODEL FOR FIREARM AND TOOLMARK INTERPRETATION","AN EXPLORATORY BAYESIAN MODEL FOR FIREARM AND TOOL MARK INTERPRETATION","Partial"
"ANALYSIS AND CLASSIFICATION OF SMOKELESS POWDERS BY GCA MS AND DART TOFMS","ANALYSIS AND CLASSIFICATION OF SMOKELESS POWDERS BY GCOMS AND DART TOFMS","Partial"
"ANALYSIS OF THE ESSENTIAL ASPECTS OF STRIATED TOOL MARK EXAMINATIONS AND THE METHODS FOR IDENTIFICATION","ANALYSIS OF THE ESSENTIAL ASPECTS OF STRIATED TOOL MARK EXAMINATIONS AND THE METHODS OF IDENTIFICATIONS","Partial"
